ID,NED identifier or alternate ID,I/O,year,type,line,z_opt,ez_opt,z_line,ez_line,FWHM,eFWHM,SdV,eSdV,u,eu,reference,Comments,Literature L’ [K km/s pc2],Literature eL’ [K km/s pc2],Literature LIR(8-1000micron) [Lsun],Literature eLIR(8-1000micron) [Lsun],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGS12011767,,0,2010,SFG,12CO(3-2)   ,-999,-999,1.28,-999,80,-999,0.3,0.06,1,-999,Tacconi et al. (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGS12011767,,1,2013,SFG,12CO(3-2)   ,-999,-999,1.282,-999,147,-999,0.38,0.03,1,-999,Tacconi et al. (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGS12012083,,0,2010,SFG,12CO(3-2)   ,-999,-999,1.12,-999,110,-999,0.13,99,1,-999,Tacconi et al. (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGS12012083,,1,2013,SFG,12CO(3-2)   ,-999,-999,1.119,-999,350,-999,2.27,0.35,1,-999,Tacconi et al. (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGS12015684,,1,2013,SFG,12CO(3-2)   ,-999,-999,1.374,-999,59,-999,0.51,0.06,1,-999,Tacconi et al. (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGS12020405,,1,2013,SFG,12CO(3-2)   ,-999,-999,1.379,-999,147,-999,1.05,0.2,1,-999,Tacconi et al. (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
